run,total_cost_eur,total_fuel_kg,total_time_h,end_weight_kg,trajectory_len,best_solution
106,39155.00286045614,52506.166205003,7.412836367048502,205236.83379499702,31,"[0, 7, 28, 49, 69, 91, 111, 132, 153, 174, 195, 216, 238, 259, 281, 302, 323, 345, 367, 389, 410, 431, 453, 474, 495, 516, 537, 558, 580, 600, 610]"
107,39265.76507070453,52529.46912723266,7.416522661223783,205213.53087276735,31,"[0, 18, 38, 59, 81, 102, 123, 145, 166, 187, 208, 229, 250, 271, 293, 315, 336, 357, 378, 399, 420, 441, 462, 482, 503, 524, 546, 566, 588, 608, 610]"
108,39206.27783546079,52436.61345060542,7.402182290516702,205306.3865493946,31,"[0, 19, 40, 61, 83, 104, 126, 147, 168, 189, 210, 231, 252, 273, 294, 315, 336, 356, 377, 398, 419, 440, 461, 483, 504, 525, 546, 567, 588, 609, 610]"
109,39290.37116374772,52699.682004536895,7.442635887369278,205043.3179954631,31,"[0, 3, 24, 46, 67, 88, 109, 130, 151, 172, 193, 215, 237, 258, 280, 302, 323, 345, 367, 389, 410, 432, 452, 473, 495, 516, 538, 559, 581, 602, 610]"
110,39250.589211030616,52614.83432648847,7.429622544262933,205128.1656735116,31,"[0, 6, 26, 46, 68, 88, 110, 131, 151, 172, 194, 215, 235, 256, 277, 299, 320, 342, 363, 385, 407, 429, 451, 473, 495, 516, 537, 558, 579, 600, 610]"
111,39348.50666816342,52639.023262375646,7.433361097090063,205103.97673762435,31,"[0, 19, 39, 61, 83, 104, 126, 146, 168, 189, 210, 231, 252, 272, 293, 314, 335, 356, 377, 398, 419, 440, 462, 483, 504, 525, 545, 566, 586, 606, 610]"
112,39139.99019121776,52472.15576366283,7.4076497188796635,205270.84423633717,31,"[0, 6, 27, 49, 71, 93, 113, 133, 153, 173, 193, 215, 236, 257, 278, 299, 320, 342, 364, 386, 408, 429, 451, 472, 493, 515, 536, 557, 577, 598, 610]"
113,39210.08957058102,52514.3699707768,7.414167797897847,205228.63002922316,31,"[0, 5, 26, 48, 69, 89, 109, 129, 149, 169, 190, 212, 233, 254, 275, 297, 318, 340, 362, 384, 406, 428, 449, 471, 493, 514, 535, 557, 578, 600, 610]"
114,38995.38833279159,52279.98354375401,7.378074094974701,205463.016456246,31,"[0, 6, 26, 47, 68, 89, 110, 130, 151, 172, 193, 214, 235, 256, 277, 299, 321, 343, 364, 386, 408, 429, 450, 472, 493, 514, 535, 557, 579, 600, 610]"
115,39179.10744273001,52556.365491162855,7.420627435442913,205186.63450883722,31,"[0, 5, 27, 49, 70, 91, 113, 133, 154, 174, 195, 216, 237, 258, 279, 301, 322, 344, 365, 387, 409, 429, 451, 473, 494, 516, 538, 559, 580, 602, 610]"
116,39209.41480766922,52577.63645033331,7.423875668692959,205165.36354966668,31,"[0, 5, 27, 49, 69, 89, 109, 129, 150, 172, 194, 215, 236, 257, 278, 300, 321, 343, 365, 387, 408, 430, 451, 473, 494, 515, 536, 557, 578, 599, 610]"
117,39222.570073259,52630.57697619267,7.432027986291476,205112.42302380744,31,"[0, 8, 28, 50, 70, 91, 112, 133, 155, 176, 196, 217, 238, 259, 279, 301, 322, 344, 366, 388, 409, 430, 451, 472, 494, 515, 536, 558, 579, 601, 610]"
118,39223.83802073823,52601.6322415503,7.427565335277481,205141.3677584497,31,"[0, 6, 26, 47, 69, 89, 111, 132, 152, 173, 194, 216, 236, 258, 279, 300, 321, 343, 365, 387, 409, 430, 451, 472, 494, 515, 536, 556, 577, 598, 610]"
119,39203.69027101242,52571.565580367664,7.422959116962815,205171.43441963237,31,"[0, 4, 25, 45, 66, 88, 110, 130, 151, 172, 193, 214, 235, 257, 279, 300, 321, 342, 364, 386, 407, 428, 450, 472, 494, 516, 537, 557, 578, 599, 610]"
120,39241.08253015355,52540.578113094074,7.418115963693491,205202.42188690594,31,"[0, 5, 25, 45, 66, 88, 110, 130, 152, 172, 193, 215, 236, 256, 278, 300, 322, 344, 366, 388, 410, 432, 454, 476, 498, 519, 540, 561, 582, 604, 610]"
