Gross_Weight   Mach    altitude   fuel_flow
     229800         0.84        34000           7255.58      
     229800         0.84        35000           7160.14      
     229800         0.84        36000           7113.42      
     229800         0.84        37000           7155.84      
     229800         0.84        38000           7274.95      
     229800         0.84        39000           7487.35      
     229800         0.84        40000           7820.64      
     229800         0.84        41000           8314.85      
     229800         0.85        28000           8812.21      
     229800         0.85        29000           8517.17      
     229800         0.85        30000           8247.60      
     229800         0.85        31000           8005.57      
     229800         0.85        32000           7793.90      
     229800         0.85        33000           7616.42      
     229800         0.85        34000           7478.33      
     229800         0.85        35000           7386.70      
     229800         0.85        36000           7351.21      
     229800         0.85        37000           7415.83      
     229800         0.85        38000           7570.82      
     229800         0.85        39000           7837.99      
     229800         0.85        40000           8253.12      
     229800         0.85        41000           8869.30      
     229800         0.86        28000           9197.16      
     229800         0.86        29000           8888.14      
     229800         0.86        30000           8607.65      
     229800         0.86        31000           8358.43      
     229800         0.86        32000           8144.21      
     229800         0.86        33000           7970.04      
     229800         0.86        34000           7842.79      
     229800         0.86        35000           7771.86      
     229800         0.86        36000           7770.26      
     229800         0.86        37000           7888.52      
     229800         0.86        38000           8122.28      
     229800         0.86        39000           8503.77      
     229800         0.86        40000           9085.55      
     229800         0.86        41000           9948.55      
     229800         0.87        28000           9763.28      
     229800         0.87        29000           9445.30      
     229800         0.87        30000           9160.67      
     229800         0.87        31000           8913.23      
     229800         0.87        32000           8708.21      
     229800         0.87        33000           8552.72      
     229800         0.87        34000           8456.51      
     229800         0.87        35000           8433.06      
     229800         0.87        36000           8501.32      
     229800         0.87        37000           8723.80      
     229800         0.87        38000           9106.75      
     229800         0.87        39000           9703.27      
     229800         0.87        40000           10601.05     
     229800         0.87        41000           11941.74     
     234700         0.78        28000           7583.27      
     234700         0.78        29000           7407.02      
     234700         0.78        30000           7252.57      
     234700         0.78        31000           7121.77      
     234700         0.78        32000           7017.05      
     234700         0.78        33000           6941.70      
     234700         0.78        34000           6900.09      
     234700         0.78        35000           6898.10      
     234700         0.78        36000           6943.72      
     234700         0.78        37000           7076.76      
     234700         0.78        38000           7285.46      
     234700         0.78        39000           7586.54      
     234700         0.78        40000           8007.55      
     234700         0.78        41000           8588.29      
     234700         0.79        28000           7717.85      
     234700         0.79        29000           7527.12      
     234700         0.79        30000           7358.23      
     234700         0.79        31000           7212.92      
     234700         0.79        32000           7093.55      
     234700         0.79        33000           7003.23      
     234700         0.79        34000           6946.18      
     234700         0.79        35000           6928.03      
     234700         0.79        36000           6956.43      
     234700         0.79        37000           7070.76      
     234700         0.79        38000           7258.54      
     234700         0.79        39000           7535.47      
     234700         0.79        40000           7927.58      
     234700         0.79        41000           8472.20      
     234700         0.80        28000           7860.38      
     234700         0.80        29000           7654.45      
     234700         0.80        30000           7470.49      
     234700         0.80        31000           7310.19      
     234700         0.80        32000           7175.80      
     234700         0.80        33000           7070.38      
     234700         0.80        34000           6998.01      
     234700         0.80        35000           6964.18      
     234700         0.80        36000           6976.33      
     234700         0.80        37000           7073.63      
     234700         0.80        38000           7243.12      
     234700         0.80        39000           7499.89      
     234700         0.80        40000           7869.10      
     234700         0.80        41000           8386.68      
     234700         0.81        28000           8013.01      
     234700         0.81        29000           7791.12      
     234700         0.81        30000           7591.45      
     234700         0.81        31000           7415.68      
     234700         0.81        32000           7266.02      
     234700         0.81        33000           7145.50      
     234700         0.81        34000           7058.16      
     234700         0.81        35000           7009.45      
     234700         0.81        36000           7006.77      
     234700         0.81        37000           7089.34      
     234700         0.81        38000           7244.02      
     234700         0.81        39000           7485.77      
     234700         0.81        40000           7839.57      
     234700         0.81        41000           8341.10      
